"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1987","32","206453","15.5"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1987","256","2371712","10.79"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1988","4","296789","1.35"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1988","26","330218","7.87"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1988","42","322844","13.01"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1988","58","334604","17.33"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1988","58","323857","17.91"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1988","45","293786","15.32"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1988","31","257871","12.02"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1988","35","214413","16.32"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1988","299","2374382","12.59"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1989","8","297772","2.69"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1989","29","325254","8.92"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1989","44","311677","14.12"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1989","49","326451","15.01"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1989","52","326705","15.92"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1989","53","299031","17.72"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1989","37","268200","13.8"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1989","35","219564","15.94"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1989","307","2374654","12.93"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1990","3","295232","1.02"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1990","34","318445","10.68"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1990","57","310281","18.37"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1990","43","319996","13.44"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1990","42","331504","12.67"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1990","35","308563","11.34"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1990","38","282142","13.47"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1990","39","225770","17.27"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1990","291","2391933","12.17"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1991","5","302899","1.65"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1991","26","310490","8.37"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1991","54","319230","16.92"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1991","47","313894","14.97"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1991","59","332713","17.73"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1991","52","317791","16.36"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1991","43","296904","14.48"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1991","35","229769","15.23"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1991","321","2423690","13.24"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1992","8","307197","2.6"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1992","34","309020","11"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1992","51","326365","15.63"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1992","41","307952","13.31"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1992","55","332044","16.56"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1992","53","327898","16.16"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1992","44","297140","14.81"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1992","44","249860","17.61"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1992","330","2457476","13.43"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1993","5","311523","1.61"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1993","37","312322","11.85"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1993","53","329027","16.11"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1993","56","303699","18.44"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1993","58","332126","17.46"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1993","55","336446","16.35"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1993","48","303727","15.8"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1993","40","260108","15.38"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1993","352","2488978","14.14"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1994","7","312985","2.24"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1994","35","316502","11.06"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1994","54","325992","16.56"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1994","31","301184","10.29"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1994","55","330190","16.66"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1994","63","340816","18.49"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1994","45","311116","14.46"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1994","44","272484","16.15"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1994","334","2511269","13.3"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1995","5","314449","1.59"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1995","42","321914","13.05"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1995","47","318917","14.74"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1995","48","302382","15.87"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1995","69","324477","21.26"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1995","51","342653","14.88"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1995","45","317784","14.16"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1995","43","283931","15.14"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1995","350","2526507","13.85"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1996","3","313351","0.96"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1996","28","326863","8.57"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1996","40","309253","12.93"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1996","46","309458","14.86"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1996","49","317772","15.42"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1996","55","344985","15.94"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1996","57","326346","17.47"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1996","47","298580","15.74"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1996","325","2546608","12.76"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1997","4","315101","1.27"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1997","25","329275","7.59"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1997","36","304951","11.81"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1997","47","312252","15.05"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1997","47","309626","15.18"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1997","51","343806","14.83"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1997","56","334233","16.75"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1997","43","297431","14.46"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1997","309","2546675","12.13"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1998","5","313928","1.59"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1998","26","330062","7.88"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1998","43","305838","14.06"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1998","48","312534","15.36"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1998","50","304719","16.41"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1998","57","344664","16.54"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1998","68","341675","19.9"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1998","55","303670","18.11"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1998","352","2557090","13.77"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1981","1","35480","2.82"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1981","4","38391","10.42"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1981","14","41666","33.6"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1981","11","50690","21.7"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1981","8","47472","16.85"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1981","5","33151","15.08"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1981","5","24534","20.38"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1981","1","19184","5.21"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1981","49","290568","16.86"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1982","0","37356","0"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1982","5","39847","12.55"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1982","16","41571","38.49"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1982","11","54083","20.34"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1982","4","52112","7.68"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1982","8","38606","20.72"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1982","2","27268","7.33"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1982","1","20895","4.79"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1982","47","311738","15.08"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1983","1","40098","2.49"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1983","7","40957","17.09"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1983","8","43430","18.42"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1983","14","56590","24.74"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1983","5","58475","8.55"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1983","7","43478","16.1"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1983","4","31335","12.77"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1983","2","23090","8.66"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1983","48","337453","14.22"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1984","0","41678","0"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1984","10","40836","24.49"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1984","14","44651","31.35"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1984","8","56383","14.19"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1984","11","62623","17.57"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1984","5","47410","10.55"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1984","4","34158","11.71"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1984","5","24549","20.37"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1984","57","352288","16.18"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1985","1","42921","2.33"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1985","8","41199","19.42"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1985","11","45355","24.25"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1985","20","54314","36.82"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1985","9","65264","13.79"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1985","7","50921","13.75"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1985","4","36137","11.07"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1985","3","25818","11.62"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1985","63","361929","17.41"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1986","2","43162","4.63"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1986","7","41656","16.8"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1986","14","46168","30.32"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1986","14","51884","26.98"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1986","12","66386","18.08"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1986","7","54270","12.9"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1986","2","37104","5.39"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1986","6","26959","22.26"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1986","64","367589","17.41"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1987","1","43167","2.32"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1987","10","40534","24.67"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1987","17","44794","37.95"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1987","14","48926","28.61"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1987","14","64428","21.73"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1987","15","53315","28.13"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1987","5","39210","12.75"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1987","3","27211","11.02"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1987","79","361585","21.85"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1988","0","42296","0"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1988","9","39591","22.73"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1988","13","43287","30.03"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1988","4","49914","8.01"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1988","15","63265","23.71"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1988","9","55062","16.35"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1988","1","41152","2.43"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1988","3","29058","10.32"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1988","54","363625","14.85"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1989","2","42809","4.67"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1989","16","38455","41.61"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1989","17","42412","40.08"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1989","18","51926","34.66"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1989","11","61441","17.9"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1989","8","56504","14.16"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1989","5","43336","11.54"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1989","3","30630","9.79"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1989","80","367513","21.77"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1990","2","44599","4.48"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1990","6","37976","15.8"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1990","18","41006","43.9"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1990","9","52713","17.07"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1990","7","59053","11.85"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1990","7","57028","12.27"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1990","3","45624","6.58"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1990","6","31596","18.99"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1990","58","369595","15.69"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1991","0","46895","0"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1991","10","39100","25.58"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1991","15","38601","38.86"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1991","14","51282","27.3"
"Both Sexes","All Races","Alaska","Both","30-34 yrs","1981","1998","Suicide","1991","6","61294","9.79"
"Both Sexes","All Races","Alaska","Both","35-39 yrs","1981","1998","Suicide","1991","9","60103","14.97"
"Both Sexes","All Races","Alaska","Both","40-44 yrs","1981","1998","Suicide","1991","9","49979","18.01"
"Both Sexes","All Races","Alaska","Both","45-49 yrs","1981","1998","Suicide","1991","3","33329","9"
"Both Sexes","All Races","Alaska","Both","Ages 10 to 49","1981","1998","Suicide","1991","66","380583","17.34"
"Both Sexes","All Races","Alaska","Both","10-14 yrs","1981","1998","Suicide","1992","1","48612","2.06"
"Both Sexes","All Races","Alaska","Both","15-19 yrs","1981","1998","Suicide","1992","11","40973","26.85"
"Both Sexes","All Races","Alaska","Both","20-24 yrs","1981","1998","Suicide","1992","15","38312","39.15"
"Both Sexes","All Races","Alaska","Both","25-29 yrs","1981","1998","Suicide","1992","11","49750","22.11"
