"Notes"	"Census Region"	"Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	29	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"			339	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"15-24 years"	"15-24"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"25-34 years"	"25-34"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"35-44 years"	"35-44"	79	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"45-54 years"	"45-54"	55	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"55-64 years"	"55-64"	27	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"65-74 years"	"65-74"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Apr., 1999"	"1999/04"			318	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"15-24 years"	"15-24"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"25-34 years"	"25-34"	72	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"35-44 years"	"35-44"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"45-54 years"	"45-54"	71	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"55-64 years"	"55-64"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"65-74 years"	"65-74"	25	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"May, 1999"	"1999/05"			390	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"15-24 years"	"15-24"	39	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"25-34 years"	"25-34"	72	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"35-44 years"	"35-44"	73	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"45-54 years"	"45-54"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"55-64 years"	"55-64"	32	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"65-74 years"	"65-74"	33	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"75-84 years"	"75-84"	32	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jun., 1999"	"1999/06"			346	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"15-24 years"	"15-24"	42	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"25-34 years"	"25-34"	71	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"35-44 years"	"35-44"	79	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"45-54 years"	"45-54"	69	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"55-64 years"	"55-64"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"65-74 years"	"65-74"	30	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"75-84 years"	"75-84"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jul., 1999"	"1999/07"			375	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"15-24 years"	"15-24"	47	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"25-34 years"	"25-34"	58	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"35-44 years"	"35-44"	95	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"45-54 years"	"45-54"	70	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"55-64 years"	"55-64"	46	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"65-74 years"	"65-74"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"75-84 years"	"75-84"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Aug., 1999"	"1999/08"			386	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"15-24 years"	"15-24"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"25-34 years"	"25-34"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"35-44 years"	"35-44"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"45-54 years"	"45-54"	57	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"55-64 years"	"55-64"	46	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"65-74 years"	"65-74"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Sep., 1999"	"1999/09"			332	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"15-24 years"	"15-24"	56	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"25-34 years"	"25-34"	65	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"35-44 years"	"35-44"	80	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"45-54 years"	"45-54"	73	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"55-64 years"	"55-64"	35	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Oct., 1999"	"1999/10"			369	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"15-24 years"	"15-24"	48	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"25-34 years"	"25-34"	63	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"35-44 years"	"35-44"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"45-54 years"	"45-54"	67	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"55-64 years"	"55-64"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"65-74 years"	"65-74"	33	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"75-84 years"	"75-84"	25	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Nov., 1999"	"1999/11"			345	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"15-24 years"	"15-24"	32	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"25-34 years"	"25-34"	48	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"35-44 years"	"35-44"	87	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"45-54 years"	"45-54"	64	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"55-64 years"	"55-64"	38	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"65-74 years"	"65-74"	33	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	21	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Dec., 1999"	"1999/12"			331	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"					4218	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"15-24 years"	"15-24"	42	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"25-34 years"	"25-34"	57	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"35-44 years"	"35-44"	85	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"45-54 years"	"45-54"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"55-64 years"	"55-64"	47	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"65-74 years"	"65-74"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jan., 2000"	"2000/01"			345	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"15-24 years"	"15-24"	45	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"25-34 years"	"25-34"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"35-44 years"	"35-44"	89	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"45-54 years"	"45-54"	73	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"55-64 years"	"55-64"	28	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Feb., 2000"	"2000/02"			343	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"15-24 years"	"15-24"	53	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"25-34 years"	"25-34"	54	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"35-44 years"	"35-44"	87	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"45-54 years"	"45-54"	82	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"55-64 years"	"55-64"	51	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"75-84 years"	"75-84"	30	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Mar., 2000"	"2000/03"			394	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"15-24 years"	"15-24"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"25-34 years"	"25-34"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"35-44 years"	"35-44"	89	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"45-54 years"	"45-54"	82	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"55-64 years"	"55-64"	46	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"65-74 years"	"65-74"	32	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"75-84 years"	"75-84"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Apr., 2000"	"2000/04"			381	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"	"15-24 years"	"15-24"	53	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"	"25-34 years"	"25-34"	46	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"	"35-44 years"	"35-44"	81	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"	"45-54 years"	"45-54"	72	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"	"55-64 years"	"55-64"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"	"65-74 years"	"65-74"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"May, 2000"	"2000/05"			363	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"15-24 years"	"15-24"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"25-34 years"	"25-34"	45	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"35-44 years"	"35-44"	86	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"45-54 years"	"45-54"	74	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"55-64 years"	"55-64"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"75-84 years"	"75-84"	21	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jun., 2000"	"2000/06"			342	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"15-24 years"	"15-24"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"25-34 years"	"25-34"	56	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"35-44 years"	"35-44"	75	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"45-54 years"	"45-54"	68	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"55-64 years"	"55-64"	38	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"65-74 years"	"65-74"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Jul., 2000"	"2000/07"			338	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"15-24 years"	"15-24"	46	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"25-34 years"	"25-34"	63	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"35-44 years"	"35-44"	82	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"45-54 years"	"45-54"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"55-64 years"	"55-64"	29	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"65-74 years"	"65-74"	30	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Aug., 2000"	"2000/08"			337	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"15-24 years"	"15-24"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"25-34 years"	"25-34"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"35-44 years"	"35-44"	74	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"45-54 years"	"45-54"	55	Not Applicable	Not Applicable
